Title,Artist,Peak_Position,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness,Date
Dance Tonight,Paul McCartney,69,02IqkGOVdFJ4CmxcRyevpY,0.0,0.0266,0.41700000000000004,0.7509999999999999,0.245,0.0402,0.8590000000000001,170.99400000000003,0.8240000000000001,-6.999,2007-07-04
Dance With My Father,Luther Vandross,38,7dN6LdEvKdvwoZquYIVNEP,28.0,0.0323,0.868,0.512,0.19,0.179,0.532,99.941,2.9100000000000003e-05,-7.483,2003-06-25
"Dance, Dance",Fall Out Boy,9,72t1btmNjrfDhh1NG0qmwl,8.0,0.000152,0.5489999999999999,0.909,0.28300000000000003,0.0395,0.428,133.862,0.024,-7.881,2005-11-02
Danger,Erykah Badu,82,1ByewTQyVqPghO0lIMqhhi,0.0,0.0726,0.85,0.551,0.838,0.158,0.86,89.01899999999999,0.000254,-10.217,2003-08-20
Dangerous,Kardinal Offishall Featuring Akon,7,,,,,,,,,,,,2008-05-21
Dangerous,Ying Yang Twins Featuring Wyclef,85,,,,,,,,,,,,2006-12-13
Dangerously In Love,Beyonce,57,68JTZDIYLoUwW4ibQZrM1X,44.0,0.16699999999999998,0.493,0.527,0.28800000000000003,0.33,0.6970000000000001,103.45100000000001,0.0,-9.752,2004-09-15
Dani California,Red Hot Chili Peppers,6,65CDLHIKIGYjhHCiUX3E5k,0.0,0.48100000000000004,0.542,0.185,0.10800000000000001,0.0285,0.455,89.98700000000001,0.442,-19.257,2006-04-19
Dare You To Move,Switchfoot,17,19xMVOUNNfvpCEIp1N4ObU,11.0,0.008190000000000001,0.434,0.917,0.45899999999999996,0.0547,0.24,139.986,0.00297,-5.131,2004-09-29
Dare,Gorillaz Featuring Shaun Ryder,87,,,,,,,,,,,,2006-01-04
Dashboard,Modest Mouse,61,4Hub09EzXDHvtQfbQxXB45,1.0,0.7509999999999999,0.742,0.133,0.0965,0.0564,0.96,115.91,0.29,-15.761,2007-02-14
Daughters,John Mayer,19,0nJN0yhxKZrqo4oufxxAPN,3.0,0.9279999999999999,0.337,0.177,0.135,0.04,0.266,111.431,0.858,-18.02,2004-11-03
Day + Night,Isyss Featuring Jadakiss,98,,,,,,,,,,,,2002-06-05
Days Go By,Dirty Vegas,14,7r1afSrM9kK0UCs3bi3pcg,15.0,0.294,0.5870000000000001,0.865,0.20600000000000002,0.0389,0.8320000000000001,126.95299999999999,0.5579999999999999,-6.899,2002-05-08
